"dndt(tme), created by Plot Digitizer, 2.5.1"
"Date: 11/27/16, 8:22:05 PM"


32
tme,dndt
67.    ,0.
78.4419,0.00268220
87.2960,0.00591928
98.3637,0.00996563
106.115,0.0136075
112.773,0.0192731
124.955,0.0250732
136.039,0.0322224
144.905,0.0377529
153.765,0.0420692
164.837,0.0469250
173.683,0.0486781
183.638,0.0512406
194.682,0.0507001
202.408,0.0496202
216.748,0.0458417
225.569,0.0427381
233.269,0.0368015
245.388,0.0308646
254.193,0.0247931
264.102,0.0187215
274.017,0.0137291
282.833,0.00981608
294.968,0.00671224
306.002,0.00455284
313.727,0.00306825
325.871,0.00185312
334.703,0.000908062
344.644,0.000772365
353.479,0.000501849
363.418,9.63375e-05
380.   ,0.
